0000001089,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",6:42:39 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.602,4.602,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.602,4.602,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.602,4.602,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.602,4.602,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.602,4.602,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.602,4.602,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:17,     17108,   120.5910,  5.31148e-09,  2.85591e-09,  1.44674e-08,  2.33705e-09,  2.33275e-10,  2.67137e-09,  4.67625e-10,  4.67625e-10,
00:00:17,     17446,   120.3041,  6.37425e-09,  3.11511e-09,  1.31313e-08,  1.86942e-09, -2.34350e-10,  2.67061e-09,  0.00000e+00,  4.67625e-10,
00:00:17,     17784,   120.3041,  5.84409e-09,  3.63469e-09,  1.31313e-08,  2.57032e-09,  7.00900e-10,  3.17125e-09,  7.00900e-10,  7.00900e-10,
00:00:18,     18122,   120.0158,  4.78130e-09,  3.37550e-09,  1.31313e-08,  1.86942e-09, -2.34350e-10,  2.50398e-09, -2.34350e-10,  9.34175e-10,
00:00:18,     18461,   120.0158,  5.84164e-09,  2.59672e-09,  1.33535e-08,  2.10377e-09,  0.00000e+00,  2.50398e-09, -2.34350e-10,  7.00900e-10,
00:00:18,     18799,   120.5910,  5.31148e-09,  3.11511e-09,  1.31313e-08,  1.86942e-09,  2.34350e-10,  2.67137e-09,  2.33275e-10,  2.34350e-10,
00:00:19,     19137,   120.3041,  3.71607e-09,  4.15428e-09,  1.33535e-08,  1.40180e-09, -4.67625e-10,  2.16996e-09, -4.67625e-10,  1.40287e-09,
00:00:19,     19476,   120.3041,  5.31148e-09,  3.63469e-09,  1.33535e-08,  1.63507e-09, -4.67625e-10,  2.33659e-09, -4.67625e-10,  1.16852e-09,
00:00:19,     19813,   120.3041,  5.31148e-09,  3.37550e-09,  1.26860e-08,  1.40180e-09, -4.67625e-10,  2.16996e-09, -4.67625e-10,  9.34175e-10,
00:00:20,     20150,   120.0158,  3.71607e-09,  3.11511e-09,  1.31313e-08,  1.86942e-09, -4.67625e-10,  1.83594e-09, -2.34350e-10,  1.16852e-09,
00:00:20,     20488,   120.0158,  4.24868e-09,  3.37550e-09,  1.31313e-08,  1.16852e-09, -2.34350e-10,  2.33659e-09, -4.67625e-10,  1.16852e-09,
00:00:20,     20826,   120.5910,  4.77886e-09,  3.37550e-09,  1.26860e-08,  9.35250e-10, -4.67625e-10,  2.33736e-09,  0.00000e+00,  9.35250e-10,
00:00:21,     21164,   120.5910,  4.24868e-09,  2.33752e-09,  1.24638e-08,  2.10270e-09,  0.00000e+00,  2.67061e-09,  0.00000e+00,  4.67625e-10,
00:00:21,     21502,   120.3027,  4.24868e-09,  4.15428e-09,  1.13510e-08,  2.10270e-09,  2.33275e-10,  2.33659e-09,  4.67625e-10,  1.16852e-09,
00:00:21,     21840,   120.3041,  4.24868e-09,  3.63589e-09,  1.17963e-08,  1.40180e-09, -7.00900e-10,  2.00334e-09, -7.00900e-10,  9.35250e-10,
00:00:22,     22179,   120.3041,  3.71852e-09,  3.11511e-09,  1.20185e-08,  9.34175e-10, -2.34350e-10,  2.00334e-09, -4.67625e-10,  9.34175e-10,
00:00:22,     22517,   120.8779,  4.77886e-09,  3.37550e-09,  1.09056e-08,  1.86942e-09,  2.33275e-10,  2.33659e-09, -2.33275e-10,  1.40180e-09,
00:00:22,     22855,   120.3041,  4.24868e-09,  3.89508e-09,  1.15731e-08,  1.86942e-09,  7.00900e-10,  2.50398e-09,  0.00000e+00,  1.16852e-09,
00:00:23,     23192,   120.3041,  4.77886e-09,  4.41347e-09,  1.15731e-08,  2.10270e-09,  2.33275e-10,  2.33659e-09, -2.34350e-10,  1.16852e-09,
00:00:23,     23531,   120.0158,  4.24868e-09,  3.89508e-09,  1.15741e-08,  1.40180e-09,  0.00000e+00,  2.00334e-09, -2.34350e-10,  1.16852e-09,
00:00:23,     23869,   120.0158,  3.18591e-09,  3.89508e-09,  1.13510e-08,  1.16852e-09, -4.67625e-10,  2.33659e-09, -4.67625e-10,  9.35250e-10,
00:00:24,     24207,   120.5910,  5.84409e-09,  3.37550e-09,  1.13510e-08,  2.57032e-09,  9.34175e-10,  2.83800e-09,  7.00900e-10,  0.00000e+00,
00:00:24,     24545,   120.3041,  4.24868e-09,  3.37550e-09,  1.13510e-08,  2.80360e-09,  7.00900e-10,  2.83800e-09,  4.67625e-10,  2.33275e-10,
00:00:24,     24884,   120.3041,  3.71852e-09,  4.15428e-09,  1.06834e-08,  1.86942e-09,  2.34350e-10,  2.50398e-09,  4.67625e-10,  9.35250e-10,
00:00:25,     25222,   120.3041,  6.90443e-09,  2.33633e-09,  1.13510e-08,  1.40287e-09,  4.67625e-10,  2.67061e-09,  4.67625e-10,  0.00000e+00,
00:00:25,     25561,   120.3041,  5.84409e-09,  3.11630e-09,  1.06834e-08,  2.10270e-09,  7.00900e-10,  2.83800e-09,  4.67625e-10,  2.33275e-10,
00:00:25,     25899,   120.0158,  5.84409e-09,  3.37550e-09,  1.11288e-08,  2.10270e-09,  7.00900e-10,  2.83800e-09,  4.67625e-10,  7.01975e-10,
00:00:26,     26237,   120.3041,  4.24868e-09,  2.59672e-09,  1.24638e-08,  1.40287e-09,  0.00000e+00,  2.50398e-09,  2.33275e-10,  4.67625e-10,
00:00:26,     26575,   120.5910,  5.31148e-09,  2.85591e-09,  1.15741e-08,  1.16852e-09,  2.33275e-10,  2.50321e-09,  4.67625e-10,  2.33275e-10,
00:00:26,     26914,   120.3041,  5.31148e-09,  2.85591e-09,  1.11277e-08,  1.86942e-09,  7.00900e-10,  2.67061e-09,  4.67625e-10,  0.00000e+00,
00:00:27,     27252,   120.0158,  3.71607e-09,  3.11630e-09,  1.13510e-08,  1.16852e-09, -4.67625e-10,  1.83594e-09, -7.00900e-10,  1.40180e-09,
00:00:27,     27590,   120.3041,  4.77886e-09,  2.85591e-09,  1.20185e-08,  1.16852e-09, -4.67625e-10,  2.16996e-09, -4.67625e-10,  9.34175e-10,
00:00:27,     27929,   120.3027,  5.84164e-09,  2.59672e-09,  1.22416e-08,  1.63615e-09,  0.00000e+00,  2.16996e-09,  0.00000e+00,  4.67625e-10,
00:00:28,     28267,   120.5910,  2.12557e-09,  3.63469e-09,  1.00149e-08,  1.63507e-09,  2.34350e-10,  2.50398e-09,  2.33275e-10,  9.35250e-10,
00:00:28,     28605,   120.3041,  3.18591e-09,  3.37550e-09,  1.09056e-08,  7.00900e-10, -7.00900e-10,  2.00334e-09, -7.01975e-10,  1.40180e-09,
00:00:28,     28944,   120.5910,  3.71852e-09,  3.11511e-09,  1.20185e-08,  7.00900e-10, -7.00900e-10,  1.50269e-09, -7.00900e-10,  1.16852e-09,
00:00:29,     29282,   120.5910,  4.24868e-09,  3.89508e-09,  9.79267e-09,  1.63615e-09,  4.67625e-10,  2.33736e-09,  2.34350e-10,  9.35250e-10,
00:00:29,     29620,   120.3041,  4.77886e-09,  3.63469e-09,  1.02381e-08,  1.40287e-09,  4.67625e-10,  2.16996e-09,  0.00000e+00,  1.16852e-09,
00:00:29,     29957,   120.0158,  4.24868e-09,  3.37550e-09,  1.02381e-08,  1.63615e-09,  7.01975e-10,  2.33736e-09,  0.00000e+00,  7.00900e-10,
00:00:30,     30295,   120.3041,  2.65573e-09,  3.89508e-09,  9.57057e-09,  9.35250e-10, -2.34350e-10,  2.00257e-09, -7.01975e-10,  1.16852e-09,
00:00:30,     30634,   120.5910,  3.71607e-09,  3.37550e-09,  1.09056e-08,  7.00900e-10, -2.34350e-10,  2.00334e-09, -4.67625e-10,  1.16852e-09,
00:00:30,     30972,   120.3041,  5.31148e-09,  2.85711e-09,  1.04612e-08,  1.40180e-09,  4.67625e-10,  3.00462e-09,  1.16852e-09,  0.00000e+00,
00:00:31,     31310,   120.3041,  4.77886e-09,  3.11630e-09,  9.57057e-09,  2.10270e-09,  7.00900e-10,  2.50398e-09,  7.01975e-10,  2.34350e-10,
00:00:31,     31648,   120.5910,  3.18591e-09,  3.63469e-09,  9.79267e-09,  1.40180e-09,  2.33275e-10,  2.16996e-09,  0.00000e+00,  1.16852e-09,
00:00:31,     31987,   120.3041,  6.37182e-09,  3.37550e-09,  1.04602e-08,  1.40180e-09,  4.67625e-10,  2.67061e-09,  4.67625e-10,  0.00000e+00,
00:00:32,     32326,   120.0158,  5.31148e-09,  2.85711e-09,  1.02381e-08,  1.63615e-09,  7.00900e-10,  2.67061e-09,  7.00900e-10,  2.33275e-10,
00:00:32,     32664,   120.0158,  5.84409e-09,  2.85711e-09,  1.00159e-08,  1.86942e-09,  7.00900e-10,  2.83800e-09,  4.67625e-10,  0.00000e+00,
00:00:33,     33002,   120.3041,  4.78130e-09,  2.33752e-09,  1.04602e-08,  1.16852e-09,  0.00000e+00,  1.83594e-09,  0.00000e+00,  2.33275e-10,
00:00:33,     33339,   120.3041,  5.84164e-09,  3.37550e-09,  1.00149e-08,  1.40180e-09,  0.00000e+00,  2.00257e-09,  0.00000e+00,  1.16852e-09,
00:00:33,     33677,   120.3041,  4.78130e-09,  2.33752e-09,  9.79267e-09,  1.63615e-09,  4.67625e-10,  2.50321e-09,  7.00900e-10,  2.33275e-10,
00:00:34,     34016,   120.0158,  5.84409e-09,  2.59672e-09,  1.04612e-08,  1.86942e-09,  7.00900e-10,  2.67061e-09,  7.01975e-10,  0.00000e+00,
00:00:34,     34354,   120.0158,  4.77886e-09,  3.63469e-09,  9.12522e-09,  1.63615e-09,  7.00900e-10,  2.33736e-09,  4.67625e-10,  2.34350e-10,
00:00:34,     34692,   120.3041,  5.31148e-09,  2.33752e-09,  1.06834e-08,  7.01975e-10,  0.00000e+00,  2.16996e-09,  2.33275e-10,  2.33275e-10,
00:00:35,     35031,   120.3027,  5.31148e-09,  2.59672e-09,  1.06834e-08,  1.40180e-09,  4.67625e-10,  2.50398e-09,  4.67625e-10,  2.33275e-10,
00:00:35,     35369,   120.3041,  5.84409e-09,  2.59672e-09,  9.57057e-09,  1.86942e-09,  4.67625e-10,  2.67061e-09,  7.00900e-10,  0.00000e+00,
00:00:35,     35707,   120.0158,  3.71607e-09,  3.37550e-09,  9.57057e-09,  7.00900e-10, -4.67625e-10,  1.50269e-09, -4.67625e-10,  1.16852e-09,
00:00:36,     36045,   120.5910,  2.12312e-09,  2.85591e-09,  1.04602e-08,  9.34175e-10, -7.00900e-10,  1.66932e-09, -7.00900e-10,  4.67625e-10,
00:00:36,     36383,   120.0158,  4.77886e-09,  2.07713e-09,  1.13510e-08,  1.16852e-09,  0.00000e+00,  2.33659e-09, -2.33275e-10,  0.00000e+00,
00:00:36,     36720,   120.3041,  4.24868e-09,  2.07713e-09,  1.00159e-08,  7.01975e-10,  0.00000e+00,  2.00334e-09,  2.33275e-10, -2.33275e-10,
