Mon, Oct 16, 2017	12:25 PM
 x = amu	 y = amps
48.420	214.544
48.480	140.010
48.540	120.600
48.600	104.093
48.660	108.869
48.720	115.378
48.780	133.056
48.840	139.118
48.900	142.035
48.960	147.983
49.020	151.027
49.080	147.983
49.140	145.054
49.200	147.435
49.260	145.983
49.320	144.531
49.380	141.220
49.440	135.641
49.500	126.802
49.560	113.009
49.620	106.972
49.680	113.225
49.740	145.130
49.800	174.870
49.860	214.263
49.920	234.069
0.000	4577.376
0.060	2342.830
0.120	2953.466
0.180	3864.033
0.240	3893.263
0.300	3843.642
0.360	3773.681
0.420	3802.809
0.480	3680.221
0.540	3694.498
0.600	3738.668
0.660	3717.029
0.720	3740.489
0.780	3914.227
0.840	4020.042
0.900	3370.776
0.960	2441.066
1.020	2749.263
1.080	1468.600
1.140	1417.348
1.200	1192.295
1.260	175.494
1.320	135.603
1.380	126.114
1.440	129.986
1.500	147.231
1.560	181.582
1.620	234.654
1.680	889.372
1.740	2549.670
1.800	2575.512
1.860	2622.344
1.920	2697.005
1.980	2658.070
2.040	2625.706
2.100	2258.234
2.160	1375.637
2.220	143.130
2.280	111.697
2.340	104.475
2.400	103.507
2.460	103.138
2.520	104.412
2.580	104.539
2.640	105.609
2.700	106.602
2.760	105.558
2.820	106.526
2.880	105.672
2.940	105.634
3.000	105.634
3.060	106.067
3.120	105.774
3.180	105.800
3.240	105.023
3.300	111.009
3.360	114.562
3.420	145.003
3.480	394.077
3.540	676.253
3.600	740.750
3.660	762.440
3.720	778.934
3.780	798.726
3.840	771.814
3.900	662.879
3.960	684.493
4.020	577.749
4.080	405.616
4.140	107.405
4.200	102.412
4.260	103.354
4.320	103.189
4.380	103.074
4.440	103.431
4.500	102.947
4.560	103.112
4.620	102.998
4.680	102.896
4.740	103.087
4.800	102.399
4.860	102.896
4.920	102.527
4.980	103.100
5.040	102.348
5.100	103.928
5.160	101.546
5.220	102.501
5.280	103.138
5.340	102.794
5.400	107.430
5.460	111.888
5.520	111.098
5.580	112.550
5.640	112.499
5.700	112.627
5.760	110.589
5.820	111.990
5.880	109.417
5.940	112.257
6.000	110.207
6.060	105.316
6.120	103.584
6.180	101.711
6.240	102.654
6.300	102.756
6.360	105.048
6.420	105.902
6.480	109.455
6.540	108.538
6.600	108.118
6.660	108.322
6.720	108.080
6.780	108.513
6.840	107.417
6.900	106.118
6.960	107.252
7.020	105.762
7.080	105.303
7.140	104.106
7.200	103.112
7.260	103.507
7.320	105.252
7.380	110.385
7.440	109.863
7.500	111.811
7.560	112.130
7.620	111.633
7.680	111.047
7.740	109.506
7.800	110.461
7.860	111.327
7.920	112.843
7.980	113.544
8.040	111.289
8.100	108.220
8.160	106.933
8.220	106.309
8.280	107.048
8.340	105.494
8.400	106.640
8.460	105.112
8.520	106.156
8.580	103.686
8.640	103.087
8.700	102.412
8.760	102.998
8.820	103.189
8.880	103.023
8.940	102.845
9.000	103.724
9.060	102.845
9.120	102.998
9.180	103.354
9.240	103.456
9.300	103.049
9.360	103.393
9.420	103.444
9.480	102.998
9.540	103.635
9.600	102.998
9.660	103.444
9.720	102.043
9.780	102.667
9.840	102.972
9.900	104.985
9.960	103.431
10.020	103.813
10.080	102.781
10.140	103.978
10.200	103.877
10.260	103.329
10.320	103.112
10.380	102.667
10.440	103.622
10.500	103.813
10.560	103.354
10.620	102.972
10.680	103.864
10.740	104.208
10.800	104.233
10.860	105.023
10.920	104.959
10.980	104.717
11.040	106.488
11.100	110.028
11.160	115.772
11.220	147.970
11.280	207.016
11.340	536.394
11.400	689.104
11.460	750.417
11.520	796.803
11.580	817.984
11.640	824.352
11.700	787.646
11.760	747.411
11.820	677.373
11.880	656.193
11.940	560.364
12.000	453.976
12.060	128.636
12.120	108.551
12.180	108.666
12.240	109.939
12.300	137.972
12.360	239.278
12.420	269.425
12.480	296.401
12.540	304.336
12.600	312.028
12.660	304.043
12.720	299.623
12.780	288.440
12.840	271.068
12.900	273.093
12.960	242.284
13.020	200.954
13.080	154.338
13.140	117.734
13.200	122.077
13.260	147.231
13.320	376.156
13.380	609.106
13.440	778.208
13.500	843.571
13.560	885.525
13.620	902.554
13.680	876.852
13.740	820.429
13.800	794.205
13.860	745.539
13.920	737.706
13.980	601.999
14.040	596.764
14.100	211.831
14.160	116.702
14.220	124.955
14.280	179.022
14.340	282.582
14.400	745.412
14.460	959.358
14.520	970.375
14.580	1027.193
14.640	1067.644
14.700	1031.065
14.760	956.480
14.820	951.143
14.880	867.045
14.940	861.976
15.000	719.799
15.060	597.974
15.120	185.912
15.180	147.919
15.240	221.893
15.300	324.829
15.360	1500.377
15.420	2786.593
15.480	3143.443
15.540	3420.741
15.600	3560.485
15.660	3617.124
15.720	3290.689
15.780	3149.582
15.840	3083.785
15.900	2859.395
15.960	2828.114
16.020	2293.552
16.080	1553.960
16.140	620.454
16.200	188.001
16.260	246.130
16.320	810.189
16.380	3759.301
16.440	4839.658
16.500	5552.848
16.560	5779.035
16.620	5981.519
16.680	5686.708
16.740	5290.630
16.800	5181.517
16.860	4929.501
16.920	4654.635
16.980	4278.732
17.040	3616.831
17.100	2484.472
17.160	253.033
17.220	494.274
17.280	908.094
17.340	5353.204
17.400	7845.307
17.460	9626.359
17.520	10256.062
17.580	10684.975
17.640	10716.357
17.700	9706.510
17.760	9609.853
17.820	9370.522
17.880	8876.297
17.940	8884.436
18.000	7007.822
18.060	6915.164
18.120	2193.750
18.180	126.331
18.240	114.155
18.300	120.663
18.360	135.488
18.420	168.654
18.480	186.218
18.540	190.803
18.600	187.644
18.660	192.790
18.720	188.701
18.780	184.129
18.840	181.123
18.900	177.977
18.960	172.692
19.020	162.311
19.080	152.110
19.140	117.759
19.200	110.601
19.260	121.300
19.320	144.468
19.380	329.541
19.440	446.423
19.500	468.712
19.560	752.136
19.620	458.905
19.680	470.088
19.740	447.442
19.800	436.871
19.860	437.088
19.920	417.690
19.980	418.747
20.040	361.153
20.100	291.344
20.160	209.525
20.220	104.284
20.280	103.354
20.340	103.736
20.400	105.341
20.460	104.246
20.520	105.265
20.580	105.443
20.640	106.195
20.700	104.106
20.760	103.647
20.820	104.310
20.880	104.501
20.940	106.959
21.000	108.691
21.060	106.347
21.120	104.883
21.180	104.959
21.240	105.023
21.300	104.590
21.360	107.366
21.420	109.022
21.480	115.951
21.540	111.620
21.600	112.435
21.660	114.371
21.720	113.085
21.780	111.124
21.840	113.276
21.900	113.480
21.960	108.271
22.020	110.678
22.080	111.391
22.140	108.602
22.200	103.380
22.260	102.718
22.320	102.883
22.380	102.845
22.440	103.112
22.500	103.291
22.560	103.100
22.620	103.023
22.680	102.819
22.740	103.061
22.800	102.947
22.860	103.444
22.920	102.246
22.980	103.125
23.040	103.724
23.100	102.310
23.160	104.704
23.220	103.405
23.280	104.246
23.340	107.086
23.400	114.690
23.460	149.893
23.520	158.121
23.580	169.877
23.640	168.043
23.700	169.979
23.760	173.023
23.820	168.692
23.880	163.216
23.940	166.094
24.000	162.401
24.060	162.159
24.120	149.435
24.180	145.219
24.240	120.625
24.300	105.418
24.360	105.405
24.420	122.841
24.480	153.307
24.540	198.050
24.600	213.588
24.660	214.964
24.720	220.492
24.780	221.638
24.840	219.957
24.900	214.645
24.960	214.709
25.020	204.329
25.080	210.379
25.140	199.005
25.200	187.682
25.260	141.946
25.320	115.696
25.380	127.210
25.440	220.644
25.500	372.412
25.560	592.752
25.620	650.716
25.680	696.555
25.740	721.989
25.800	729.822
25.860	676.367
25.920	659.300
25.980	669.821
26.040	618.302
26.100	625.816
26.160	555.906
26.220	491.345
26.280	401.769
26.340	146.900
26.400	177.608
26.460	276.672
26.520	1016.443
26.580	1334.498
26.640	1648.935
26.700	1734.104
26.760	1763.461
26.820	1806.574
26.880	1651.674
26.940	1608.573
27.000	1699.321
27.060	1581.458
27.120	1531.149
27.180	1302.937
27.240	1354.494
