Wed, Oct 04, 2017	12:34 PM
 x = amu	 y = amps
47.100	108.729
47.160	107.035
47.220	107.456
47.280	107.736
47.340	107.952
47.400	106.742
47.460	105.953
47.520	104.717
47.580	102.845
47.640	103.316
47.700	102.972
47.760	105.762
47.820	112.066
47.880	115.798
47.940	118.931
48.000	121.491
48.060	122.179
48.120	121.606
48.180	122.128
48.240	121.848
48.300	120.396
48.360	121.440
48.420	119.479
48.480	114.435
48.540	110.894
48.600	107.341
48.660	104.730
48.720	103.011
48.780	108.500
48.840	116.537
48.900	129.910
48.960	140.659
49.020	144.761
49.080	149.155
49.140	149.664
49.200	146.544
49.260	146.722
49.320	146.951
49.380	147.308
49.440	143.576
49.500	142.939
49.560	129.426
49.620	115.671
49.680	107.392
49.740	106.118
49.800	110.691
49.860	139.768
49.920	180.270
49.980	205.717
50.040	216.492
50.100	234.756
50.160	243.213
50.220	236.718
50.280	236.272
50.340	230.630
50.400	231.980
50.460	223.281
50.520	209.780
50.580	170.157
50.640	142.111
50.700	116.830
50.760	105.672
50.820	108.742
50.880	135.132
50.940	163.700
51.000	194.458
51.060	224.058
51.120	241.201
51.180	253.364
51.240	254.409
51.300	252.664
51.360	244.653
51.420	240.959
51.480	232.668
51.540	221.969
51.600	210.544
51.660	165.063
51.720	125.261
51.780	107.914
51.840	108.283
51.900	116.180
51.960	153.651
52.020	188.268
52.080	204.838
52.140	216.556
52.200	232.680
52.260	236.947
52.320	232.056
52.380	234.973
52.440	226.083
52.500	222.733
52.560	211.474
52.620	199.553
52.680	160.210
52.740	131.986
52.800	113.798
52.860	108.271
52.920	125.694
52.980	177.824
53.040	241.367
53.100	290.797
53.160	335.438
53.220	360.898
53.280	374.959
53.340	379.073
53.400	377.303
53.460	361.255
53.520	362.083
53.580	341.934
53.640	301.330
53.700	243.570
53.760	177.761
53.820	123.083
53.880	106.921
53.940	105.112
54.000	107.698
54.060	114.983
54.120	120.345
54.180	124.293
54.240	129.719
54.300	131.184
54.360	129.095
54.420	129.375
54.480	129.923
54.540	129.209
54.600	125.860
54.660	125.478
54.720	120.752
54.780	111.162
54.840	106.373
54.900	104.259
54.960	104.246
55.020	111.098
55.080	122.153
55.140	130.585
55.200	135.743
55.260	143.245
55.320	144.901
55.380	145.614
55.440	146.658
55.500	144.506
55.560	144.060
55.620	142.252
55.680	139.666
55.740	127.248
55.800	116.447
55.860	108.436
55.920	103.762
55.980	102.501
56.040	102.985
56.100	104.208
56.160	105.176
56.220	106.347
56.280	105.813
56.340	107.023
56.400	108.232
56.460	107.901
56.520	108.704
56.580	108.322
56.640	107.099
56.700	107.659
56.760	106.462
56.820	104.564
56.880	103.061
56.940	102.679
57.000	102.514
57.060	102.883
57.120	102.552
57.180	103.380
57.240	103.966
57.300	104.488
57.360	104.080
57.420	104.564
57.480	103.902
57.540	103.991
57.600	104.042
57.660	103.991
57.720	104.615
57.780	103.787
57.840	102.960
57.900	103.227
57.960	102.616
58.020	102.144
58.080	102.450
58.140	102.412
58.200	102.425
58.260	103.698
58.320	103.545
58.380	103.787
58.440	103.533
58.500	104.284
58.560	104.246
58.620	103.507
58.680	103.507
58.740	103.456
58.800	103.418
58.860	103.558
58.920	102.272
58.980	102.386
59.040	102.692
59.100	101.941
59.160	102.055
59.220	102.960
59.280	102.514
59.340	102.718
59.400	102.870
59.460	102.603
59.520	102.425
59.580	102.170
59.640	102.794
59.700	103.393
59.760	102.769
