Fri, Oct 20, 2017	10:25 AM
 x = amu	 y = amps
48.480	192.994
48.540	173.558
48.600	135.323
48.660	109.735
48.720	107.761
48.780	115.276
48.840	139.653
48.900	220.555
48.960	285.626
49.020	302.221
49.080	319.823
49.140	348.276
49.200	339.908
49.260	323.478
49.320	334.394
49.380	303.903
49.440	315.493
49.500	277.818
49.560	270.520
49.620	181.416
49.680	150.301
49.740	113.263
49.800	120.791
49.860	202.699
49.920	499.802
49.980	623.689
50.040	758.161
50.100	845.036
50.160	901.599
50.220	899.574
50.280	873.604
50.340	880.443
50.400	811.106
50.460	850.182
50.520	738.929
50.580	655.250
50.640	447.060
50.700	231.267
50.760	147.270
50.820	125.872
50.880	238.514
50.940	389.593
51.000	689.397
51.060	863.861
51.120	913.762
51.180	1034.160
51.240	1081.768
51.300	1038.719
51.360	1057.939
51.420	999.249
51.480	1065.899
51.540	865.746
51.600	954.187
51.660	530.038
51.720	257.746
51.780	185.313
51.840	119.657
51.900	133.603
51.960	313.811
52.020	607.234
52.080	716.678
52.140	838.133
52.200	962.861
52.260	997.861
52.320	966.809
52.380	968.694
52.440	960.861
52.500	970.465
52.560	998.676
52.620	842.107
52.680	660.625
52.740	437.763
52.800	232.413
52.860	148.174
52.920	169.584
52.980	551.410
53.040	895.842
53.100	1455.723
53.160	1789.189
53.220	1878.306
53.280	2130.131
53.340	2176.186
53.400	2059.533
53.460	2124.170
53.520	2023.374
53.580	2136.155
53.640	1768.238
53.700	1624.379
53.760	770.324
53.820	346.340
53.880	168.183
53.940	112.588
54.000	122.969
54.060	177.697
54.120	228.452
54.180	251.683
54.240	281.945
54.300	304.374
54.360	304.960
54.420	298.464
54.480	301.712
54.540	290.389
54.600	302.323
54.660	278.200
54.720	263.490
54.780	183.046
54.840	153.485
54.900	116.256
54.960	110.156
55.020	127.503
55.080	211.181
55.140	261.210
55.200	346.175
55.260	380.805
55.320	403.451
55.380	424.147
55.440	414.073
55.500	427.102
55.560	397.350
55.620	412.264
55.680	362.337
55.740	345.130
55.800	260.688
55.860	171.749
55.920	142.481
55.980	106.882
56.040	107.201
56.100	111.518
56.160	123.542
56.220	132.037
56.280	138.660
56.340	139.157
56.400	146.556
56.460	147.563
56.520	145.805
56.580	147.423
56.640	145.130
56.700	144.009
56.760	144.264
56.820	132.839
56.880	117.326
56.940	115.441
57.000	106.895
57.060	105.494
57.120	105.991
57.180	115.403
57.240	120.294
57.300	127.808
57.360	132.432
57.420	131.298
57.480	133.629
57.540	135.055
57.600	135.692
57.660	131.476
57.720	132.559
57.780	132.266
57.840	122.803
57.900	115.874
57.960	109.430
58.020	108.041
58.080	106.029
58.140	106.666
58.200	108.997
58.260	113.747
58.320	115.645
58.380	116.384
58.440	116.193
58.500	117.441
58.560	117.033
58.620	116.231
58.680	116.651
58.740	117.288
58.800	114.932
58.860	114.690
58.920	108.411
58.980	104.794
59.040	105.813
59.100	104.654
59.160	105.825
59.220	107.481
59.280	107.748
59.340	110.665
59.400	110.143
59.460	111.276
59.520	111.926
59.580	110.461
59.640	110.525
59.700	110.130
59.760	109.532
59.820	110.856
59.880	107.354
59.940	106.653
60.000	106.946
60.060	107.596
60.120	108.373
60.180	116.804
60.240	161.789
60.300	170.144
60.360	188.332
60.420	205.806
60.480	212.226
60.540	210.315
60.600	208.392
60.660	202.610
60.720	216.467
60.780	193.758
60.840	193.962
60.900	146.416
60.960	137.488
61.020	116.244
61.080	107.799
61.140	111.850
61.200	149.078
61.260	176.462
61.320	214.302
61.380	247.773
61.440	255.364
61.500	265.107
61.560	270.189
61.620	264.840
61.680	257.860
61.740	266.789
61.800	237.189
61.860	222.173
61.920	177.824
61.980	142.544
62.040	108.640
62.100	110.894
62.160	121.415
62.220	145.588
62.280	225.943
62.340	282.034
62.400	302.056
62.460	337.323
62.520	363.840
62.580	363.815
62.640	370.718
62.700	355.358
62.760	378.500
62.820	334.954
62.880	326.166
62.940	205.221
63.000	155.816
63.060	125.872
63.120	112.996
63.180	119.428
63.240	187.797
63.300	366.910
63.360	428.898
63.420	538.648
63.480	617.359
63.540	655.365
63.600	670.063
63.660	690.645
63.720	627.230
63.780	696.911
63.840	585.454
63.900	559.256
63.960	319.505
64.020	257.924
64.080	167.495
64.140	108.283
64.200	116.677
64.260	155.587
64.320	207.500
64.380	280.200
64.440	325.988
64.500	354.046
64.560	376.055
64.620	386.868
64.680	380.423
64.740	377.035
64.800	370.336
64.860	360.134
64.920	310.818
64.980	239.622
65.040	171.380
65.100	120.701
65.160	108.283
65.220	117.008
65.280	135.616
65.340	277.806
65.400	423.077
65.460	472.660
65.520	561.918
65.580	639.572
65.640	669.184
65.700	691.345
65.760	675.718
65.820	648.041
65.880	596.026
65.940	644.895
66.000	357.217
66.060	236.425
66.120	193.554
66.180	106.819
66.240	107.417
66.300	119.835
66.360	168.183
66.420	186.320
66.480	232.311
66.540	267.897
66.600	278.366
66.660	294.146
66.720	296.031
66.780	284.772
66.840	297.394
66.900	286.072
66.960	270.011
67.020	181.938
67.080	158.732
67.140	127.923
67.200	106.488
67.260	107.061
67.320	118.434
67.380	136.902
67.440	182.206
67.500	211.296
67.560	220.619
67.620	241.519
67.680	252.091
67.740	253.173
67.800	247.123
67.860	248.639
67.920	238.896
67.980	221.778
68.040	179.913
68.100	143.385
68.160	119.186
68.220	105.380
68.280	106.564
68.340	109.506
68.400	116.779
68.460	122.956
68.520	126.000
68.580	131.515
68.640	134.482
68.700	137.055
68.760	136.826
68.820	137.042
68.880	135.552
68.940	132.355
69.000	130.203
69.060	115.887
69.120	109.837
69.180	108.946
69.240	105.863
69.300	108.602
69.360	125.490
69.420	150.874
69.480	160.923
69.540	178.601
69.600	192.255
69.660	194.191
69.720	203.603
69.780	192.408
69.840	198.929
69.900	194.165
69.960	184.282
70.020	146.022
70.080	129.311
70.140	118.536
70.200	105.571
70.260	106.169
70.320	105.800
70.380	107.914
70.440	108.602
70.500	112.894
70.560	114.868
70.620	116.855
70.680	117.301
70.740	116.460
70.800	118.727
70.860	116.358
70.920	118.893
70.980	117.556
71.040	113.442
71.100	110.856
71.160	108.449
71.220	105.443
71.280	105.532
71.340	105.099
71.400	105.838
71.460	107.787
71.520	110.117
71.580	111.289
71.640	113.225
71.700	111.888
71.760	110.856
71.820	113.811
71.880	112.907
71.940	112.461
72.000	111.913
72.060	110.168
72.120	107.201
72.180	106.309
72.240	106.055
72.300	105.405
72.360	106.462
72.420	107.647
72.480	110.054
72.540	111.302
72.600	113.569
72.660	113.200
72.720	113.556
72.780	114.066
72.840	113.493
72.900	112.525
72.960	112.576
73.020	113.531
73.080	109.391
73.140	108.232
73.200	107.557
73.260	105.456
73.320	105.876
73.380	107.978
73.440	113.442
73.500	116.830
73.560	122.217
73.620	128.331
73.680	126.777
73.740	128.089
73.800	128.407
73.860	130.088
73.920	128.560
73.980	129.910
74.040	120.052
74.100	112.767
74.160	110.843
74.220	105.851
74.280	106.195
74.340	107.761
74.400	121.071
74.460	130.903
74.520	147.410
74.580	162.350
74.640	165.878
74.700	178.996
74.760	180.767
74.820	183.620
74.880	185.454
74.940	175.736
75.000	176.080
75.060	139.462
75.120	131.043
75.180	121.886
75.240	107.379
75.300	106.449
75.360	108.092
75.420	111.748
75.480	116.511
75.540	126.305
75.600	129.693
75.660	135.425
75.720	138.800
75.780	139.602
75.840	137.310
75.900	141.233
75.960	136.775
76.020	135.488
76.080	120.842
76.140	114.613
76.200	110.092
76.260	106.360
76.320	105.583
76.380	107.010
76.440	108.500
76.500	118.383
76.560	123.860
76.620	130.203
76.680	137.246
76.740	139.641
76.800	142.977
76.860	138.673
76.920	140.723
76.980	138.240
77.040	141.602
77.100	124.994
77.160	117.148
77.220	115.263
77.280	107.150
77.340	109.646
77.400	114.384
77.460	156.211
77.520	260.013
77.580	305.482
77.640	395.452
77.700	416.416
77.760	482.952
77.820	526.676
77.880	530.255
77.940	514.869
78.000	489.982
78.060	526.141
78.120	315.060
78.180	261.796
78.240	203.323
78.300	108.156
78.360	106.144
78.420	107.468
78.480	117.403
78.540	130.661
78.600	149.855
78.660	160.516
78.720	180.550
