0000000457,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/13/2016,"Time",8:36:44 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,11.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:45,     45716,   143.7821,  7.77420e-09,  1.27065e-09,  3.14974e-09,  6.04969e-09,  4.89125e-10,  1.95435e-09,  2.79269e-09,  1.01724e-09,
00:00:46,     46279,   146.0300,  7.10720e-09,  1.36847e-09,  3.58333e-09,  5.95652e-09,  7.81525e-10,  4.88695e-09,  2.86180e-09,  6.78163e-10,
00:00:46,     46842,   148.6745,  7.77420e-09,  2.63912e-09,  5.10386e-09,  6.70186e-09,  1.36847e-09,  1.54413e-08,  4.25854e-09,  2.37170e-09,
00:00:47,     47405,   152.3768,  7.10720e-09,  3.42065e-09,  6.08091e-09,  6.42235e-09,  1.46630e-09,  1.25097e-08,  4.81676e-09,  2.37170e-09,
00:00:47,     47968,   156.6081,  7.32955e-09,  2.93152e-09,  8.68720e-09,  6.14286e-09,  1.07500e-09,  5.17935e-09,  4.60714e-09,  1.69354e-09,
00:00:48,     48531,   161.5005,  6.66255e-09,  2.24782e-09,  1.19444e-08,  6.04969e-09,  6.83700e-10,  3.22500e-09,  3.97904e-09,  1.69354e-09,
00:00:49,     49094,   166.2606,  6.88489e-09,  1.95435e-09,  1.29214e-08,  5.95652e-09,  5.86950e-10,  2.24782e-09,  3.97904e-09,  1.52400e-09,
00:00:49,     49657,   171.0207,  7.10720e-09,  1.85652e-09,  1.09674e-08,  5.86335e-09,  4.89125e-10,  1.95435e-09,  3.28105e-09,  1.52400e-09,
00:00:50,     50220,   174.9875,  6.44266e-09,  1.66195e-09,  7.71013e-09,  5.77121e-09,  4.89125e-10,  2.05217e-09,  3.49068e-09,  1.18492e-09,
00:00:50,     50783,   179.3510,  6.88489e-09,  1.66195e-09,  4.88647e-09,  5.49171e-09,  4.89125e-10,  1.75870e-09,  3.28105e-09,  1.18679e-09,
00:00:51,     51346,   182.3922,  6.88489e-09,  1.66195e-09,  4.01811e-09,  5.49171e-09,  3.91300e-10,  1.75977e-09,  3.42080e-09,  1.18492e-09,
00:00:51,     51909,   185.1689,  7.10720e-09,  1.56412e-09,  3.36594e-09,  5.30538e-09,  3.91300e-10,  1.46630e-09,  3.14130e-09,  1.01724e-09,
00:00:52,     52472,   187.5490,  6.88489e-09,  1.56412e-09,  3.14974e-09,  5.39854e-09,  4.89125e-10,  1.66195e-09,  3.07143e-09,  1.18679e-09,
00:00:53,     53035,   189.1357,  7.99652e-09,  1.56412e-09,  2.60628e-09,  5.39854e-09,  4.89125e-10,  1.75977e-09,  3.00155e-09,  1.18492e-09,
00:00:53,     53598,   191.2513,  7.32955e-09,  1.56412e-09,  2.71497e-09,  5.30538e-09,  6.84775e-10,  1.85652e-09,  3.14130e-09,  1.35446e-09,
00:00:54,     54161,   193.1025,  7.32955e-09,  1.46630e-09,  2.49758e-09,  5.67805e-09,  5.86950e-10,  1.95435e-09,  3.07143e-09,  1.52400e-09,
