0000000457,scans,0000000118,DataLength
"header",0000000026,"lines"
"Date",4/24/2016,"Time",6:01:48 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",7
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,8.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,8.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",16.00,16.00,0.01,10.000,8.000,0.098000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,8.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,8.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",32.00,32.00,0.01,10.000,8.000,0.860000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,10.000,8.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1000,"V"
"resolution",0,"%"
"Data",7
"Time","ms","Scan 1 : none 0.40","Hydrogen","Oxygen-16","Water","Carbon monoxide","Oxygen","Carbon dioxide",
00:00:32,     32341,   214.5231,  2.70948e-09,  2.41327e-09,  6.17528e-10,  1.57973e-09,  2.33750e-10,  4.73768e-10,
00:00:32,     32845,   216.5065,  2.49693e-09,  2.51199e-09,  5.53028e-10,  1.65140e-09,  1.73750e-10,  4.76071e-10,
00:00:33,     33349,   218.3577,  2.61909e-09,  2.25969e-09,  5.57806e-10,  1.55721e-09,  2.16250e-10,  4.73768e-10,
00:00:33,     33853,   219.8122,  2.24284e-09,  2.33648e-09,  5.31528e-10,  1.72205e-09,  2.28750e-10,  4.33071e-10,
00:00:34,     34357,   221.1345,  2.45784e-09,  2.28163e-09,  5.60194e-10,  1.73126e-09,  1.80000e-10,  4.17714e-10,
00:00:34,     34861,   222.7212,  2.39432e-09,  2.81913e-09,  5.25556e-10,  1.42821e-09,  1.88750e-10,  4.35375e-10,
00:00:35,     35365,   224.0434,  2.46761e-09,  2.53393e-09,  5.60194e-10,  1.68621e-09,  1.98750e-10,  4.46893e-10,
00:00:35,     35869,   225.6301,  2.43830e-09,  1.98546e-09,  5.88861e-10,  1.60021e-09,  2.87500e-10,  4.26161e-10,
00:00:36,     36373,   227.2169,  2.31368e-09,  2.20485e-09,  5.81694e-10,  1.66881e-09,  2.25000e-10,  4.96036e-10,
00:00:36,     36877,   228.5391,  2.45295e-09,  2.79719e-09,  6.00806e-10,  1.56335e-09,  1.50000e-10,  4.41518e-10,
00:00:37,     37381,   230.2581,  2.63618e-09,  2.50102e-09,  5.97222e-10,  1.69748e-09,  2.02500e-10,  4.47661e-10,
00:00:37,     37867,   231.9770,  2.28436e-09,  2.43520e-09,  5.61389e-10,  1.56233e-09,  2.30000e-10,  4.95268e-10,
00:00:38,     38371,   233.9604,  2.39432e-09,  2.91786e-09,  6.10361e-10,  1.66778e-09,  2.57500e-10,  5.12161e-10,
00:00:38,     38875,   235.9438,  2.44318e-09,  2.63265e-09,  6.02000e-10,  1.83773e-09,  2.01250e-10,  5.18304e-10,
00:00:39,     39361,   237.7950,  2.60443e-09,  2.42423e-09,  6.47389e-10,  1.56233e-09,  1.91250e-10,  4.94500e-10,
00:00:39,     39865,   239.7784,  2.52868e-09,  2.58878e-09,  6.39028e-10,  1.65754e-09,  2.38750e-10,  4.87589e-10,
00:00:40,     40369,   242.1584,  2.38943e-09,  2.74235e-09,  6.37833e-10,  1.60329e-09,  2.52500e-10,  4.89893e-10,
00:00:40,     40873,   244.2740,  2.58977e-09,  2.40230e-09,  6.07972e-10,  1.59611e-09,  2.08750e-10,  4.82214e-10,
00:00:41,     41377,   246.9186,  2.57266e-09,  2.76429e-09,  6.79639e-10,  1.65857e-09,  2.05000e-10,  5.18304e-10,
00:00:41,     41881,   249.0342,  2.46516e-09,  3.19209e-09,  6.83222e-10,  1.69850e-09,  2.06250e-10,  5.38268e-10,
00:00:42,     42385,   251.2820,  2.68993e-09,  3.02755e-09,  7.33389e-10,  1.66369e-09,  1.97500e-10,  4.69929e-10,
