Mon, Oct 23, 2017	10:13 AM
 x = amu	 y = amps
33.600	2.604
33.660	3.387
33.720	4.840
33.780	4.289
33.840	4.896
33.900	4.444
33.960	4.332
34.020	4.369
34.080	3.789
34.140	4.269
34.200	4.341
34.260	3.275
34.320	3.881
34.380	2.988
34.440	1.621
34.500	1.409
34.560	1.665
34.620	2.028
34.680	2.299
34.740	2.749
34.800	2.575
34.860	2.182
34.920	2.449
34.980	2.365
35.040	1.823
35.100	2.565
35.160	2.059
35.220	2.128
35.280	1.790
35.340	2.197
35.400	1.937
35.460	1.726
35.520	1.901
35.580	3.255
35.640	5.531
35.700	10.334
35.760	11.208
35.820	13.227
35.880	12.567
35.940	13.124
36.000	11.152
36.060	12.003
36.120	12.394
36.180	9.763
36.240	8.902
36.300	9.317
36.360	6.729
36.420	5.685
36.480	1.936
36.540	2.653
36.600	3.414
36.660	9.541
36.720	15.358
36.780	15.123
36.840	15.739
36.900	18.552
36.960	19.150
37.020	16.171
37.080	16.299
37.140	15.816
37.200	17.238
37.260	15.686
37.320	15.467
37.380	12.714
37.440	6.390
37.500	1.987
37.560	2.149
37.620	4.276
37.680	12.955
37.740	17.115
37.800	20.000
37.860	19.998
37.920	22.325
37.980	21.597
38.040	19.652
38.100	22.112
38.160	20.002
38.220	19.644
38.280	17.837
38.340	15.093
38.400	9.803
38.460	4.102
38.520	2.202
38.580	3.822
38.640	13.331
38.700	22.917
38.760	36.883
38.820	41.157
38.880	41.546
38.940	47.879
39.000	47.679
39.060	44.553
39.120	45.477
39.180	43.843
39.240	42.814
39.300	36.611
39.360	38.852
39.420	20.202
39.480	16.515
39.540	16.902
39.600	110.547
39.660	191.327
39.720	274.005
39.780	295.113
39.840	323.742
39.900	356.812
39.960	351.804
40.020	305.870
40.080	343.322
40.140	299.319
40.200	311.493
40.260	257.262
40.320	260.475
40.380	145.822
40.440	83.435
40.500	5.221
40.560	2.930
40.620	3.336
40.680	17.532
40.740	35.661
40.800	42.605
40.860	50.196
40.920	54.026
40.980	55.630
41.040	56.033
41.100	51.668
41.160	49.736
41.220	49.323
41.280	50.584
41.340	44.650
41.400	30.737
41.460	19.527
41.520	5.494
41.580	3.039
41.640	8.333
41.700	41.943
41.760	52.661
41.820	67.772
41.880	80.869
41.940	80.602
42.000	85.294
42.060	82.552
42.120	79.853
42.180	75.776
42.240	74.633
42.300	70.472
42.360	64.798
42.420	56.854
42.480	16.987
42.540	6.187
42.600	3.297
42.660	7.907
42.720	15.992
42.780	26.554
42.840	32.184
42.900	33.780
42.960	39.253
43.020	40.697
43.080	34.571
43.140	38.244
43.200	36.282
43.260	36.912
43.320	33.059
43.380	34.209
43.440	26.820
43.500	18.808
43.560	23.310
43.620	86.994
43.680	203.821
43.740	894.537
43.800	1043.981
43.860	1043.981
43.920	1043.981
43.980	1043.981
44.040	1043.981
44.100	1043.981
44.160	1043.981
44.220	1043.981
44.280	1043.981
44.340	1043.981
44.400	1043.755
44.460	616.152
44.520	330.343
44.580	3.980
44.640	2.970
44.700	7.175
44.760	18.805
44.820	23.336
44.880	27.994
44.940	29.242
45.000	30.970
45.060	32.715
45.120	29.475
45.180	29.240
45.240	30.173
45.300	28.437
45.360	24.304
45.420	23.472
45.480	15.257
45.540	7.089
45.600	2.657
45.660	1.999
45.720	4.061
45.780	5.052
45.840	8.055
45.900	9.936
45.960	9.754
46.020	10.890
46.080	11.022
46.140	9.494
46.200	9.849
46.260	10.397
46.320	10.050
46.380	8.560
46.440	8.815
46.500	6.495
46.560	3.246
46.620	2.058
46.680	2.075
46.740	2.616
46.800	4.777
46.860	6.796
46.920	6.816
46.980	7.827
47.040	10.002
47.100	8.828
47.160	8.193
47.220	8.428
47.280	7.308
47.340	9.049
47.400	6.423
47.460	7.592
47.520	4.538
47.580	3.377
47.640	1.962
47.700	2.006
47.760	3.544
47.820	6.440
47.880	9.003
47.940	9.411
48.000	11.868
48.060	11.319
48.120	11.215
48.180	9.807
48.240	11.664
48.300	11.416
48.360	11.357
48.420	9.738
48.480	9.186
48.540	6.564
48.600	3.882
48.660	1.738
48.720	1.830
48.780	2.492
48.840	3.507
48.900	6.958
48.960	7.981
49.020	8.657
49.080	8.470
49.140	10.316
49.200	9.674
49.260	8.649
49.320	9.252
49.380	8.489
49.440	7.916
49.500	8.177
49.560	4.844
49.620	3.698
49.680	2.979
49.740	2.125
49.800	2.352
49.860	6.326
49.920	15.731
0.000	1000.096
0.060	940.372
0.120	1043.981
0.180	1043.981
0.240	1043.981
0.300	1043.981
0.360	1043.981
0.420	1043.981
0.480	1043.981
0.540	1043.981
0.600	1043.981
0.660	1043.981
0.720	1043.981
0.780	1043.981
0.840	1043.981
0.900	1043.981
0.960	1043.981
1.020	1043.981
1.080	975.804
1.140	834.726
1.200	434.431
1.260	332.960
1.320	109.597
1.380	28.860
1.440	29.441
1.500	44.469
1.560	67.740
1.620	96.273
1.680	241.771
1.740	1017.584
