Tue, Oct 10, 2017	2:59 PM
 x = amu	 y = amps

45.300	127.528
45.360	127.146
45.420	123.644
45.480	119.351
45.540	114.435
45.600	109.315
45.660	107.748
45.720	107.736
45.780	108.067
45.840	108.831
45.900	110.041
45.960	110.105
46.020	110.843
46.080	110.894
46.140	110.372
46.200	110.296
46.260	110.321
46.320	110.652
46.380	110.194
46.440	109.532
46.500	108.360
46.560	106.666
46.620	106.144
46.680	104.921
46.740	105.863
46.800	107.290
46.860	108.500
46.920	107.685
46.980	108.615
47.040	108.220
47.100	108.844
47.160	109.073
47.220	109.481
47.280	109.519
47.340	109.226
47.400	108.296
47.460	108.424
47.520	106.882
47.580	106.029
47.640	104.857
47.700	105.380
47.760	106.628
47.820	108.003
47.880	109.583
47.940	111.531
48.000	112.308
48.060	112.181
48.120	112.677
48.180	112.677
48.240	112.143
48.300	112.639
48.360	111.620
48.420	111.315
48.480	110.372
48.540	107.990
48.600	107.328
48.660	105.571
48.720	105.418
48.780	106.105
48.840	106.653
48.900	106.895
48.960	107.506
49.020	108.003
49.080	107.927
49.140	108.920
49.200	108.920
49.260	108.589
49.320	109.175
49.380	108.844
49.440	108.780
49.500	108.538
49.560	107.710
49.620	106.004
49.680	105.647
49.740	105.978
49.800	108.016
49.860	111.404
49.920	113.442
0.000	539.731
0.060	774.871
0.120	994.473
0.180	1237.955
0.240	1390.424
0.300	1461.047
0.360	1478.063
0.420	1494.340
0.480	1506.096
0.540	1517.992
0.600	1524.118
0.660	1528.423
0.720	1526.169
0.780	1520.081
0.840	1532.511
0.900	1557.360
0.960	1565.703
1.020	1398.588
1.080	1407.057
1.140	1110.884
1.200	913.074
1.260	704.999
1.320	486.250
1.380	325.656
1.440	236.807
1.500	186.956
1.560	168.654
1.620	166.489
1.680	199.680
1.740	526.981
1.800	1110.082
1.860	1540.077
1.920	1795.443
1.980	1932.385
2.040	2041.893
2.100	2093.934
2.160	1957.934
2.220	1422.061
2.280	865.860
2.340	524.740
2.400	334.279
2.460	231.190
2.520	173.405
2.580	142.570
2.640	125.427
2.700	115.823
2.760	111.493
2.820	108.716
2.880	107.163
2.940	106.972
3.000	106.602
3.060	106.322
3.120	106.004
3.180	106.080
3.240	105.481
3.300	105.469
3.360	105.711
3.420	106.602
3.480	114.652
3.540	137.590
3.600	188.549
3.660	240.934
3.720	270.902
3.780	286.861
3.840	301.699
3.900	305.940
3.960	302.145
4.020	288.135
4.080	268.113
4.140	219.409
4.200	169.240
4.260	140.188
4.320	122.459
4.380	114.448
4.440	110.194
4.500	107.023
4.560	105.609
4.620	104.641
4.680	104.106
4.740	103.609
4.800	103.507
4.860	103.558
4.920	103.673
4.980	103.125
5.040	103.545
5.100	104.526
5.160	103.609
5.220	103.469
5.280	103.482
5.340	103.966
5.400	104.424
5.460	106.360
5.520	107.889
5.580	109.901
5.640	111.977
5.700	113.111
5.760	113.824
5.820	114.754
5.880	113.887
5.940	112.474
6.000	112.410
6.060	111.366
6.120	109.404
6.180	107.608
6.240	105.469
6.300	104.259
6.360	104.335
6.420	104.271
6.480	105.290
6.540	105.825
6.600	107.163
6.660	107.494
6.720	107.621
6.780	107.456
6.840	107.787
6.900	107.812
6.960	107.277
7.020	106.793
7.080	106.768
7.140	105.621
7.200	104.819
7.260	104.284
7.320	104.373
7.380	105.278
7.440	107.290
7.500	109.175
7.560	109.952
7.620	110.627
7.680	111.302
7.740	110.869
7.800	112.321
7.860	111.557
7.920	110.500
7.980	109.723
8.040	109.022
8.100	108.818
8.160	106.781
8.220	105.163
8.280	105.048
8.340	104.182
8.400	103.838
8.460	103.698
8.520	104.348
8.580	104.208
8.640	104.386
8.700	103.609
8.760	104.004
8.820	103.889
8.880	104.182
8.940	103.189
9.000	103.507
9.060	103.571
9.120	103.736
9.180	103.418
9.240	102.883
9.300	103.138
9.360	103.393
9.420	103.826
9.480	103.660
9.540	104.284
9.600	103.775
9.660	102.616
9.720	103.380
9.780	103.558
9.840	103.367
9.900	103.787
9.960	103.787
10.020	103.800
10.080	102.972
10.140	103.609
10.200	103.444
10.260	102.947
10.320	103.495
10.380	103.125
10.440	103.698
10.500	103.393
10.560	104.386
10.620	103.787
10.680	103.787
10.740	104.577
10.800	103.928
10.860	103.405
10.920	104.271
10.980	104.819
11.040	104.513
11.100	104.692
11.160	106.386
11.220	110.449
11.280	119.237
11.340	160.121
11.400	256.306
11.460	354.861
11.520	428.911
11.580	477.169
11.640	511.761
11.700	531.032
11.760	539.833
11.820	527.414
11.880	510.793
11.940	489.154
12.000	458.892
12.060	382.295
12.120	286.250
12.180	208.570
12.240	161.318
12.300	138.023
12.360	135.310
12.420	145.754
12.480	161.942
12.540	175.901
12.600	185.364
12.660	190.408
12.720	192.688
12.780	193.936
12.840	190.790
12.900	187.148
12.960	181.684
13.020	173.621
13.080	162.694
13.140	145.601
13.200	129.528
13.260	123.771
13.320	131.438
13.380	158.592
13.440	229.254
13.500	315.034
13.560	378.092
13.620	419.588
13.680	449.582
13.740	459.134
13.800	456.536
13.860	445.124
13.920	431.382
13.980	410.290
14.040	386.346
14.100	346.506
14.160	277.525
14.220	210.544
14.280	165.419
14.340	146.556
14.400	169.087
14.460	236.680
14.520	297.751
14.580	341.513
14.640	376.972
14.700	395.923
14.760	399.910
14.820	399.808
14.880	393.784
14.940	380.410
15.000	369.432
15.060	352.696
15.120	305.087
15.180	240.602
15.240	189.784
15.300	170.514
15.360	223.306
15.420	399.146
15.480	643.647
15.540	838.018
15.600	986.805
15.660	1088.697
15.720	1142.916
15.780	1159.079
15.840	1146.839
15.900	1097.294
15.960	1057.862
16.020	1002.357
16.080	886.863
16.140	728.523
16.200	506.998
16.260	346.022
16.320	276.914
16.380	447.761
16.440	809.794
16.500	1209.298
16.560	1528.792
16.620	1742.306
16.680	1893.042
16.740	1949.133
16.800	1939.594
16.860	1878.102
16.920	1799.034
16.980	1717.788
17.040	1615.566
17.100	1477.235
17.160	1147.756
17.220	763.752
17.280	522.906
17.340	590.638
17.400	1074.254
17.460	2131.226
17.520	3147.646
17.580	3817.749
17.640	4271.727
17.700	4523.807
17.760	4561.392
17.820	4518.228
17.880	4425.035
17.940	4266.161
18.000	3987.640
18.060	3715.985
18.120	3273.660
18.180	2247.281
18.240	1280.190
18.300	755.575
18.360	459.784
18.420	311.825
18.480	232.515
18.540	185.950
18.600	162.490
18.660	150.199
18.720	143.602
18.780	139.564
18.840	135.246
18.900	132.559
18.960	131.986
19.020	130.368
19.080	129.413
