Wed, Oct 18, 2017	9:56 AM
 x = amu	 y = amps
54.240	695.434
54.300	679.157
54.360	679.271
54.420	674.788
54.480	654.906
54.540	678.456
54.600	586.155
54.660	567.089
54.720	335.234
54.780	197.158
54.840	138.214
54.900	148.989
54.960	217.371
55.020	520.015
55.080	711.112
55.140	790.511
55.200	890.365
55.260	1002.459
55.320	1029.969
55.380	977.648
55.440	1000.446
55.500	914.488
55.560	990.970
55.620	830.453
55.680	753.346
55.740	420.925
55.800	314.423
55.860	152.186
55.920	100.603
55.980	104.399
56.040	124.217
56.100	138.647
56.160	158.656
56.220	169.227
56.280	174.793
56.340	180.461
56.400	179.850
56.460	178.181
56.520	176.130
56.580	172.692
56.640	177.226
56.700	163.954
56.760	162.986
56.820	126.446
56.880	108.220
56.940	100.934
57.000	99.521
57.060	103.660
57.120	124.115
57.180	137.908
57.240	139.602
57.300	146.136
57.360	148.836
57.420	152.288
57.480	145.690
57.540	150.747
57.600	145.474
57.660	145.639
57.720	143.130
57.780	133.591
57.840	112.919
57.900	108.895
57.960	98.374
58.020	97.330
58.080	100.030
58.140	106.284
58.200	109.977
58.260	112.448
58.320	114.639
58.380	115.085
58.440	114.295
58.500	114.983
58.560	113.620
58.620	114.626
58.680	111.442
58.740	112.041
58.800	104.845
58.860	103.864
58.920	98.769
58.980	97.980
59.040	96.846
59.100	101.852
59.160	103.775
59.220	105.863
59.280	109.048
59.340	109.073
59.400	110.321
59.460	109.137
59.520	110.627
59.580	109.099
59.640	108.054
59.700	107.901
59.760	108.080
59.820	105.889
59.880	102.157
59.940	102.921
60.000	106.526
60.060	163.967
60.120	240.411
60.180	386.880
60.240	487.027
60.300	531.732
60.360	581.302
60.420	611.297
60.480	600.089
60.540	585.849
60.600	588.804
60.660	595.172
60.720	519.021
60.780	538.113
60.840	325.733
60.900	213.716
60.960	164.451
61.020	110.754
61.080	126.063
61.140	217.180
61.200	341.106
61.260	375.838
61.320	442.972
61.380	496.108
61.440	497.229
61.500	495.905
61.560	484.111
61.620	454.638
61.680	495.217
61.740	419.460
61.800	413.856
61.860	235.406
61.920	202.788
61.980	116.104
62.040	119.848
62.100	143.882
62.160	320.982
62.220	409.500
62.280	573.597
62.340	672.139
62.400	719.404
62.460	758.963
62.520	762.084
62.580	755.843
62.640	701.420
62.700	762.504
62.760	638.400
62.820	601.248
62.880	410.137
62.940	247.913
63.000	116.167
63.060	121.568
63.120	251.556
63.180	460.650
63.240	873.846
63.300	1153.016
63.360	1251.838
63.420	1454.743
63.480	1572.376
63.540	1552.036
63.600	1582.362
63.660	1478.356
63.720	1638.224
63.780	1415.170
63.840	1296.212
63.900	655.530
63.960	402.088
64.020	284.989
64.080	112.066
64.140	128.076
64.200	246.716
64.260	437.062
64.320	511.112
64.380	627.306
64.440	721.658
64.500	743.654
64.560	752.493
64.620	745.883
64.680	739.476
64.740	769.980
64.800	674.966
64.860	601.846
64.920	348.315
64.980	280.340
65.040	178.831
65.100	113.111
65.160	134.890
65.220	323.593
65.280	607.539
65.340	987.672
65.400	1218.736
65.460	1344.483
65.520	1535.785
65.580	1537.963
65.640	1577.853
65.700	1455.812
65.760	1440.580
65.820	1415.298
65.880	1296.429
65.940	994.549
66.000	485.359
66.060	219.740
66.120	102.692
66.180	124.280
66.240	161.038
66.300	296.745
66.360	400.407
66.420	435.941
66.480	518.244
66.540	578.016
66.600	577.698
66.660	597.694
66.720	581.837
66.780	590.282
66.840	524.498
66.900	543.717
66.960	322.421
67.020	207.462
67.080	170.679
67.140	99.559
67.200	112.270
67.260	135.234
67.320	231.827
67.380	270.164
67.440	333.196
67.500	391.389
67.560	414.608
67.620	426.580
67.680	434.273
67.740	412.481
67.800	445.774
67.860	398.432
67.920	382.856
67.980	232.719
68.040	196.522
68.100	147.486
68.160	98.642
68.220	99.228
68.280	115.110
68.340	121.262
68.400	140.940
68.460	153.472
68.520	156.720
68.580	159.535
68.640	160.414
68.700	161.636
68.760	159.904
68.820	158.198
68.880	155.064
68.940	138.431
69.000	124.943
69.060	111.073
69.120	100.017
69.180	100.259
69.240	120.154
69.300	133.833
69.360	166.833
69.420	190.179
69.480	196.725
69.540	214.569
69.600	221.829
69.660	224.669
69.720	219.778
69.780	222.313
69.840	213.818
69.900	186.676
69.960	158.873
70.020	131.897
70.080	104.399
70.140	98.846
70.200	98.298
70.260	100.438
70.320	102.119
70.380	106.908
70.440	109.455
70.500	112.232
70.560	113.302
70.620	115.034
70.680	115.938
70.740	115.072
70.800	115.046
70.860	114.664
70.920	111.824
70.980	109.532
71.040	102.539
71.100	100.705
71.160	97.343
71.220	97.164
71.280	96.757
71.340	100.476
71.400	102.132
71.460	104.144
71.520	107.608
71.580	109.353
71.640	109.965
71.700	109.595
71.760	109.952
71.820	110.321
71.880	110.003
71.940	108.716
72.000	103.787
72.060	101.176
72.120	98.515
72.180	98.273
72.240	96.973
72.300	98.884
72.360	102.769
72.420	103.647
72.480	105.176
72.540	106.411
72.600	108.525
72.660	108.487
72.720	109.073
72.780	108.080
72.840	108.169
72.900	108.169
