Tue, Oct 24, 2017	12:57 PM
 x = amu	 y = amps
44.040	2543.391
44.100	2294.151
44.160	2457.865
44.220	2152.089
44.280	2299.373
44.340	1936.028
44.400	1739.912
44.460	1006.458
44.520	584.487
44.580	110.550
44.640	106.997
44.700	115.581
44.760	148.531
44.820	166.222
44.880	178.678
44.940	185.403
45.000	193.592
45.060	190.968
45.120	188.421
45.180	189.593
45.240	181.238
45.300	180.945
45.360	177.621
45.420	167.037
45.480	154.033
45.540	125.159
45.600	111.175
45.660	105.354
45.720	108.882
45.780	112.779
45.840	122.230
45.900	125.083
45.960	125.478
46.020	128.496
46.080	130.114
46.140	128.012
46.200	127.706
46.260	128.140
46.320	127.643
46.380	125.694
46.440	122.994
46.500	117.899
46.560	109.939
46.620	106.398
46.680	106.717
46.740	106.946
46.800	113.862
46.860	118.065
46.920	119.988
46.980	123.440
47.040	124.471
47.100	124.344
47.160	122.217
47.220	121.784
47.280	121.618
47.340	121.568
47.400	120.039
47.460	119.797
47.520	111.493
47.580	109.086
47.640	105.774
47.700	106.972
47.760	120.956
47.820	144.582
47.880	156.160
47.940	165.152
48.000	172.488
48.060	174.819
48.120	172.679
48.180	169.495
48.240	170.297
48.300	164.795
48.360	168.489
48.420	158.363
48.480	150.517
48.540	133.183
48.600	114.193
48.660	105.188
48.720	105.634
48.780	105.634
48.840	108.436
48.900	112.741
48.960	116.460
49.020	116.256
49.080	118.294
49.140	117.059
49.200	117.479
49.260	118.294
49.320	118.090
49.380	116.562
49.440	114.779
49.500	115.607
49.560	111.518
49.620	106.972
49.680	105.813
49.740	105.239
49.800	106.016
49.860	116.384
49.920	133.693
0.000	2063.991
0.060	1823.272
0.120	2620.892
0.180	2719.561
0.240	2670.156
0.300	2654.249
0.360	2577.384
0.420	2657.624
0.480	2684.014
0.540	2594.336
0.600	2656.388
0.660	2600.093
0.720	2543.913
0.780	2647.919
0.840	2580.594
0.900	2723.267
0.960	2843.359
1.020	2719.752
1.080	1876.064
1.140	1398.893
1.200	944.317
1.260	745.297
1.320	428.185
1.380	132.737
1.440	131.184
1.500	144.837
1.560	168.692
1.620	188.498
1.680	331.872
1.740	1395.403
1.800	3346.411
1.860	3553.225
1.920	3630.255
1.980	3906.356
2.040	3571.095
2.100	3927.957
2.160	3262.465
2.220	1717.661
2.280	245.353
2.340	111.187
2.400	106.857
2.460	105.074
2.520	105.125
2.580	105.940
2.640	106.322
2.700	106.921
2.760	108.602
2.820	108.653
2.880	107.761
2.940	108.373
3.000	109.328
3.060	108.691
3.120	107.494
3.180	107.443
3.240	107.315
3.300	111.238
3.360	114.575
3.420	125.758
3.480	165.788
3.540	248.754
3.600	852.372
3.660	961.625
3.720	997.835
3.780	999.160
3.840	1077.935
3.900	1056.296
3.960	917.366
4.020	915.010
4.080	829.994
4.140	260.700
4.200	117.530
4.260	106.513
4.320	105.392
4.380	105.023
4.440	104.297
4.500	104.220
4.560	105.150
4.620	104.501
4.680	105.048
4.740	105.278
4.800	105.201
4.860	104.475
4.920	105.010
4.980	104.768
5.040	104.717
5.100	105.214
5.160	104.603
5.220	104.603
5.280	104.450
5.340	104.997
5.400	106.195
5.460	107.048
5.520	112.130
5.580	111.633
5.640	113.811
5.700	114.320
5.760	112.881
5.820	112.741
5.880	111.837
5.940	112.639
6.000	111.098
6.060	110.996
6.120	108.946
6.180	104.386
6.240	105.303
6.300	105.507
6.360	105.520
6.420	106.182
6.480	109.086
6.540	109.850
6.600	109.748
6.660	109.748
6.720	109.455
6.780	109.149
6.840	109.812
6.900	108.742
6.960	109.850
7.020	108.920
7.080	108.551
7.140	105.456
7.200	105.048
7.260	104.399
7.320	105.354
7.380	106.297
7.440	108.373
7.500	110.347
7.560	110.487
7.620	110.742
7.680	110.818
7.740	111.837
7.800	112.474
7.860	109.659
7.920	111.531
7.980	113.391
8.040	112.499
8.100	110.920
8.160	108.831
8.220	111.073
8.280	109.251
8.340	109.366
8.400	109.684
8.460	108.334
8.520	107.787
8.580	107.035
8.640	104.946
8.700	104.870
8.760	104.271
8.820	105.048
8.880	104.692
8.940	105.278
9.000	104.412
9.060	104.513
9.120	105.010
9.180	105.087
9.240	104.577
9.300	104.743
9.360	104.870
9.420	104.513
9.480	104.908
9.540	105.163
9.600	104.819
9.660	105.494
9.720	105.290
9.780	105.201
9.840	105.316
9.900	104.934
9.960	104.654
10.020	104.666
10.080	104.819
10.140	104.093
10.200	105.099
10.260	104.322
10.320	104.972
10.380	104.743
10.440	104.730
10.500	105.723
10.560	105.061
10.620	105.239
10.680	105.265
10.740	104.373
10.800	104.603
10.860	106.144
10.920	105.188
10.980	106.004
11.040	107.621
11.100	107.825
11.160	110.538
11.220	117.925
11.280	126.025
11.340	171.087
11.400	449.493
11.460	576.501
11.520	687.308
11.580	724.957
11.640	761.103
11.700	759.205
11.760	757.091
11.820	713.965
11.880	647.252
11.940	654.333
12.000	526.880
12.060	409.271
12.120	258.828
12.180	109.277
12.240	107.137
12.300	111.710
12.360	133.349
12.420	180.907
12.480	238.195
12.540	261.885
12.600	269.387
12.660	271.259
12.720	276.239
12.780	265.999
12.840	258.255
12.900	252.880
12.960	247.811
13.020	222.822
13.080	208.749
13.140	127.146
13.200	117.683
13.260	123.733
13.320	147.856
13.380	202.444
13.440	554.110
13.500	703.037
13.560	753.703
13.620	816.213
13.680	816.927
13.740	838.362
13.800	783.175
13.860	782.156
13.920	683.245
13.980	682.723
14.040	575.444
14.100	453.709
14.160	331.311
14.220	114.397
14.280	119.135
14.340	132.890
14.400	205.959
14.460	600.751
14.520	737.617
14.580	891.002
14.640	933.312
14.700	965.829
14.760	918.258
14.820	907.814
14.880	864.077
14.940	778.641
15.000	804.776
15.060	658.523
15.120	537.693
15.180	354.606
15.240	145.818
15.300	167.584
15.360	329.490
15.420	1670.893
15.480	2834.979
15.540	3636.815
15.600	3860.276
15.660	4031.861
15.720	4024.003
15.780	4001.854
15.840	3861.104
15.900	3450.098
15.960	3321.779
16.020	3279.112
16.080	2757.643
16.140	2147.185
16.200	267.756
16.260	165.152
16.320	243.519
16.380	792.193
16.440	1794.143
16.500	4512.484
16.560	5178.384
16.620	5292.821
16.680	5745.194
16.740	5677.691
16.800	5345.104
16.860	5246.231
16.920	4849.478
16.980	4802.276
17.040	3909.311
17.100	3849.170
17.160	1971.893
17.220	190.039
17.280	216.123
17.340	441.316
17.400	844.336
17.460	4586.967
17.520	6246.691
17.580	6369.114
17.640	7018.788
17.700	7146.229
17.760	6695.944
17.820	6494.097
17.880	6243.316
17.940	5678.531
18.000	5837.075
18.060	4961.380
18.120	4268.517
18.180	1233.931
18.240	144.149
18.300	112.639
18.360	111.837
18.420	120.803
18.480	154.950
18.540	156.797
18.600	161.407
18.660	166.400
18.720	168.782
18.780	165.878
18.840	166.706
18.900	162.859
18.960	152.173
19.020	160.133
19.080	147.792
19.140	137.246
19.200	123.784
19.260	109.099
19.320	111.276
19.380	123.465
19.440	210.392
19.500	252.778
19.560	273.297
19.620	273.373
19.680	291.064
19.740	294.337
19.800	275.475
19.860	280.837
19.920	271.132
19.980	251.810
20.040	257.032
20.100	234.476
20.160	210.850
20.220	133.196
20.280	106.258
20.340	106.004
20.400	105.481
20.460	105.583
20.520	106.271
20.580	107.468
20.640	107.112
20.700	106.717
20.760	106.437
20.820	106.704
20.880	106.246
20.940	106.500
21.000	107.672
21.060	106.704
21.120	106.882
21.180	107.532
21.240	105.456
21.300	105.430
21.360	106.195
21.420	105.660
21.480	106.959
21.540	110.907
21.600	112.041
21.660	112.970
21.720	112.652
21.780	112.053
21.840	112.257
21.900	111.009
21.960	111.429
22.020	111.213
22.080	113.149
22.140	110.130
22.200	108.984
22.260	107.443
22.320	105.609
22.380	104.424
22.440	104.641
22.500	104.896
22.560	105.087
22.620	104.768
22.680	105.112
22.740	104.424
22.800	104.819
22.860	104.755
22.920	104.921
22.980	105.048
23.040	104.794
23.100	104.730
23.160	105.163
23.220	105.583
23.280	105.087
23.340	106.437
23.400	106.156
23.460	111.264
23.520	119.428
23.580	145.092
23.640	158.147
23.700	157.000
23.760	160.579
23.820	161.980
23.880	154.504
23.940	154.797
24.000	158.809
24.060	150.225
24.120	147.499
24.180	144.328
24.240	134.635
24.300	120.472
24.360	106.347
24.420	107.774
24.480	107.774
24.540	130.152
24.600	181.645
24.660	195.554
24.720	203.769
24.780	206.965
24.840	218.887
24.900	203.310
24.960	204.049
25.020	204.291
25.080	189.020
25.140	192.955
25.200	183.645
25.260	172.055
25.320	155.064
25.380	112.372
25.440	120.307
25.500	137.641
25.560	267.922
25.620	406.074
25.680	544.201
25.740	586.512
25.800	602.407
25.860	632.286
25.920	606.712
25.980	565.012
26.040	584.601
26.100	543.679
26.160	555.613
26.220	464.879
26.280	485.524
26.340	298.948
26.400	123.720
26.460	126.318
26.520	181.149
26.580	316.588
26.640	894.110
26.700	1160.429
26.760	1261.582
26.820	1290.812
26.880	1400.740
26.940	1322.067
27.000	1223.602
27.060	1271.809
27.120	1133.848
27.180	1210.610
27.240	1133.746
