Wed, Oct 25, 2017	1:06 PM
 x = amu	 y = amps

4.740	95.662
4.800	96.018
4.860	96.286
4.920	96.286
4.980	95.611
5.040	95.840
5.100	96.426
5.160	96.515
5.220	95.674
5.280	96.337
5.340	96.197
5.400	97.063
5.460	99.597
5.520	101.278
5.580	102.437
5.640	100.400
5.700	101.877
5.760	102.323
5.820	101.737
5.880	100.438
5.940	102.272
6.000	99.432
6.060	99.916
6.120	96.731
6.180	95.802
6.240	96.451
6.300	96.515
6.360	96.133
6.420	97.037
6.480	99.623
6.540	100.960
6.600	101.571
6.660	102.565
6.720	102.246
6.780	101.953
6.840	101.457
6.900	100.845
6.960	101.049
7.020	99.126
7.080	97.534
7.140	96.247
7.200	96.235
7.260	96.349
7.320	97.279
7.380	98.234
7.440	100.820
7.500	102.488
7.560	102.374
7.620	101.673
7.680	104.233
7.740	103.456
7.800	102.425
7.860	101.176
7.920	105.418
7.980	107.379
8.040	107.557
8.100	106.055
8.160	103.851
8.220	104.997
8.280	102.794
8.340	102.616
8.400	101.368
8.460	100.985
8.520	100.820
8.580	100.476
8.640	96.286
8.700	96.681
8.760	95.776
8.820	95.674
8.880	95.127
8.940	97.126
9.000	96.018
9.060	96.782
9.120	95.674
9.180	95.687
9.240	96.922
9.300	96.069
9.360	95.763
9.420	95.700
9.480	95.636
9.540	97.050
9.600	95.598
9.660	96.286
9.720	97.254
9.780	96.515
9.840	95.916
9.900	97.088
9.960	96.286
10.020	96.668
10.080	96.107
10.140	96.260
10.200	96.604
10.260	97.215
10.320	96.375
10.380	96.731
10.440	97.559
10.500	96.540
10.560	97.789
10.620	96.184
10.680	96.770
10.740	97.215
10.800	97.483
10.860	97.687
10.920	96.948
10.980	96.973
11.040	97.929
11.100	98.807
11.160	101.444
11.220	109.341
11.280	121.911
11.340	208.379
11.400	488.645
11.460	556.747
11.520	638.273
11.580	661.517
11.640	680.456
11.700	674.648
11.760	652.448
11.820	607.081
11.880	571.024
11.940	574.667
12.000	459.185
12.060	351.970
12.120	181.493
12.180	101.635
12.240	101.648
12.300	108.003
12.360	161.840
12.420	208.838
12.480	241.965
12.540	258.930
12.600	257.427
12.660	270.049
12.720	271.195
12.780	262.458
12.840	250.371
12.900	241.316
12.960	233.674
13.020	217.384
13.080	184.091
13.140	112.194
13.200	110.321
13.260	124.357
13.320	176.398
13.380	258.739
13.440	649.022
13.500	757.791
13.560	815.780
13.620	834.286
13.680	835.395
13.740	828.555
13.800	794.294
13.860	766.083
13.920	696.249
13.980	652.461
14.040	571.826
14.100	439.380
14.160	285.651
14.220	108.793
14.280	122.166
14.340	142.774
14.400	357.689
14.460	834.821
14.520	936.560
14.580	1043.737
14.640	1076.788
14.700	1093.715
14.760	1034.516
14.820	1009.922
14.880	961.753
14.940	885.245
15.000	907.559
15.060	737.247
15.120	539.833
15.180	282.569
15.240	178.474
15.300	240.424
15.360	824.683
15.420	3664.911
15.480	4263.002
15.540	5123.107
15.600	5377.403
15.660	5461.973
15.720	5611.779
15.780	5221.293
15.840	5030.654
15.900	4740.555
15.960	4412.694
16.020	4031.810
16.080	3552.958
16.140	2613.900
16.200	223.090
16.260	217.040
16.320	441.902
16.380	2344.740
16.440	4631.098
16.500	7150.317
16.560	7972.557
16.620	8399.190
16.680	8613.315
16.740	8479.646
16.800	7868.283
16.860	7486.674
16.920	7085.412
16.980	7137.593
17.040	5625.407
17.100	5504.258
17.160	1870.180
17.220	271.093
17.280	367.878
17.340	1286.813
17.400	3091.657
17.460	8989.842
17.520	10516.344
17.580	10730.864
17.640	11690.492
17.700	11158.414
17.760	10473.499
17.820	10413.395
17.880	10059.475
17.940	9176.266
18.000	9181.742
18.060	7485.961
18.120	5931.872
18.180	564.821
18.240	139.004
18.300	107.366
18.360	114.524
18.420	153.128
18.480	187.402
18.540	191.249
18.600	197.731
18.660	205.947
18.720	201.642
18.780	193.121
18.840	194.789
18.900	189.988
18.960	176.449
19.020	184.575
19.080	165.139
19.140	144.812
19.200	119.644
19.260	102.310
19.320	107.073
19.380	152.530
19.440	245.901
19.500	273.004
19.560	282.684
19.620	294.274
19.680	311.353
19.740	297.254
19.800	284.097
19.860	281.894
19.920	266.419
19.980	259.465
20.040	253.861
20.100	224.962
20.160	199.056
20.220	116.078
20.280	97.776
20.340	98.464
20.400	98.922
20.460	99.011
20.520	100.743
20.580	100.463
20.640	99.330
20.700	99.126
20.760	98.884
20.820	98.922
20.880	98.082
20.940	99.775
21.000	99.610
21.060	100.132
21.120	99.788
21.180	99.686
21.240	98.795
21.300	98.489
21.360	98.413
21.420	99.164
21.480	102.386
21.540	102.374
21.600	102.756
21.660	104.539
21.720	103.826
21.780	103.762
21.840	103.100
21.900	102.858
21.960	104.017
22.020	103.291
22.080	103.342
22.140	102.654
22.200	100.081
22.260	99.113
22.320	98.591
22.380	97.878
22.440	97.559
22.500	98.120
22.560	98.693
22.620	98.285
22.680	98.273
22.740	97.801
22.800	97.801
22.860	98.260
22.920	97.776
22.980	98.769
23.040	98.387
23.100	97.801
23.160	98.043
23.220	98.948
23.280	98.056
23.340	98.693
23.400	99.419
23.460	108.245
23.520	123.987
23.580	137.717
23.640	140.991
23.700	140.010
23.760	144.659
23.820	141.449
23.880	139.946
23.940	136.839
24.000	136.966
24.060	135.208
24.120	133.947
24.180	129.617
24.240	120.918
24.300	104.526
24.360	98.999
24.420	102.374
24.480	106.080
24.540	142.570
24.600	171.418
24.660	172.564
24.720	179.276
24.780	185.479
24.840	181.582
24.900	173.711
24.960	177.531
25.020	174.487
25.080	169.979
25.140	168.068
25.200	156.083
25.260	146.913
25.320	127.694
25.380	108.220
25.440	130.852
25.500	186.039
25.560	425.268
25.620	508.514
25.680	615.576
25.740	639.215
25.800	644.692
25.860	682.965
25.920	614.990
25.980	600.942
26.040	605.973
26.100	553.486
26.160	590.320
26.220	500.477
26.280	461.478
26.340	284.530
26.400	128.394
26.460	143.996
26.520	368.731
26.580	783.595
26.640	1364.849
26.700	1650.247
26.760	1622.787
26.820	1708.949
26.880	1730.627
26.940	1627.589
27.000	1599.620
27.060	1653.915
27.120	1458.895
27.180	1511.853
27.240	1346.432
27.300	1225.741
27.360	700.197
27.420	425.497
27.480	536.419
27.540	3195.331
27.600	6143.666
27.660	8882.933
27.720	9219.060
27.780	9979.210
27.840	10405.499
27.900	10248.089
27.960	9609.649
28.020	9224.002
28.080	9372.242
28.140	8473.672
28.200	8723.358
28.260	7157.157
28.320	5910.551
28.380	3619.047
28.440	174.666
28.500	155.930
28.560	233.139
28.620	706.705
28.680	886.035
28.740	1138.586
28.800	1253.558
28.860	1247.737
28.920	1281.692
28.980	1184.411
29.040	1143.680
29.100	1183.660
29.160	1105.203
29.220	1115.686
29.280	955.104
29.340	838.923
29.400	479.857
29.460	132.126
29.520	155.141
29.580	478.507
29.640	860.829
29.700	1180.680
29.760	1340.891
29.820	1370.911
29.880	1411.018
29.940	1349.667
30.000	1255.455
30.060	1301.090
30.120	1196.193
30.180	1180.399
30.240	1042.629
30.300	1062.906
30.360	636.069
30.420	145.983
30.480	107.506
30.540	139.195
30.600	306.335
30.660	381.034
30.720	452.435
30.780	454.498
30.840	479.716
30.900	485.664
30.960	470.686
31.020	445.354
31.080	464.929
31.140	426.605
31.200	445.481
31.260	392.204
31.320	336.355
31.380	205.526
31.440	123.911
31.500	123.656
31.560	243.061
31.620	299.585
31.680	381.582
31.740	392.115
31.800	412.595
31.860	435.483
31.920	419.499
31.980	395.923
32.040	406.584
32.100	386.957
32.160	378.462
32.220	366.999
32.280	326.179
32.340	228.312
32.400	158.401
32.460	99.190
32.520	100.743
32.580	103.762
32.640	107.086
32.700	107.188
32.760	110.296
32.820	110.614
32.880	108.971
32.940	111.022
33.000	108.207
33.060	110.589
33.120	108.436
33.180	108.041
33.240	107.150
33.300	107.048
33.360	105.405
33.420	100.170
