Wed, Oct 04, 2017	10:33 AM
 x = amu	 y = amps
44.580	125.350
44.640	106.742
44.700	119.835
44.760	136.991
44.820	148.008
44.880	152.466
44.940	157.408
45.000	159.153
45.060	158.261
45.120	155.574
45.180	156.440
45.240	156.542
45.300	153.944
45.360	150.607
45.420	134.037
45.480	118.473
45.540	106.564
45.600	101.762
45.660	101.024
45.720	104.972
45.780	108.385
45.840	110.054
45.900	114.601
45.960	117.352
46.020	116.944
46.080	116.740
46.140	114.932
46.200	114.754
46.260	114.066
46.320	114.231
46.380	112.983
46.440	110.754
46.500	107.901
46.560	103.112
46.620	100.909
46.680	100.985
46.740	101.648
46.800	104.131
46.860	106.488
46.920	106.679
46.980	107.481
47.040	108.920
47.100	109.060
47.160	108.258
47.220	108.131
47.280	108.538
47.340	108.156
47.400	109.417
47.460	108.449
47.520	103.978
47.580	103.609
47.640	105.851
47.700	113.900
47.760	141.067
47.820	169.202
47.880	182.995
47.940	191.873
48.000	197.413
48.060	202.164
48.120	196.241
48.180	198.712
48.240	196.649
48.300	194.140
48.360	188.880
48.420	179.391
48.480	149.371
48.540	125.338
48.600	109.774
48.660	103.303
48.720	105.112
48.780	128.203
48.840	153.918
48.900	178.703
48.960	203.132
49.020	215.308
49.080	221.192
49.140	223.026
49.200	220.479
49.260	224.504
49.320	219.842
49.380	220.275
49.440	210.595
49.500	194.178
49.560	154.759
49.620	120.561
49.680	106.437
49.740	108.729
49.800	128.076
49.860	179.964
49.920	236.985
49.980	264.101
50.040	282.110
50.100	305.533
50.160	309.061
50.220	305.074
50.280	298.171
50.340	293.446
50.400	298.464
50.460	287.243
50.520	265.324
50.580	200.037
50.640	147.270
50.700	118.141
50.760	104.004
50.820	119.632
50.880	170.616
50.940	202.597
51.000	233.317
51.060	261.541
51.120	275.156
51.180	286.963
51.240	284.072
51.300	282.467
51.360	277.398
51.420	276.392
51.480	264.802
51.540	241.188
51.600	200.865
51.660	152.746
51.720	114.894
51.780	102.743
51.840	104.934
51.900	110.818
51.960	121.389
52.020	132.967
52.080	139.360
52.140	142.761
52.200	145.512
52.260	146.098
52.320	145.716
52.380	145.117
52.440	143.461
52.500	141.360
52.560	137.297
52.620	129.006
52.680	115.556
52.740	108.067
52.800	103.482
52.860	105.571
52.920	128.904
52.980	161.802
53.040	180.334
53.100	192.140
53.160	205.463
53.220	211.907
53.280	210.404
53.340	207.475
53.400	212.353
53.460	210.990
53.520	209.857
53.580	200.865
53.640	169.304
53.700	137.934
53.760	114.664
53.820	103.495
53.880	100.731
53.940	103.762
54.000	106.462
54.060	108.984
54.120	112.079
54.180	114.117
54.240	114.996
54.300	116.269
54.360	116.970
54.420	116.307
54.480	116.014
54.540	117.314
54.600	113.798
54.660	113.289
54.720	108.525
54.780	104.743
54.840	102.093
54.900	100.807
54.960	101.329
55.020	104.896
55.080	111.238
55.140	119.300
55.200	122.599
55.260	126.560
55.320	129.490
55.380	127.681
55.440	128.687
55.500	130.075
55.560	129.324
55.620	128.878
55.680	126.165
55.740	117.173
55.800	111.569
55.860	105.863
55.920	102.068
55.980	101.979
56.040	105.341
56.100	110.894
56.160	115.429
56.220	118.740
56.280	120.014
56.340	123.070
56.400	124.179
56.460	123.924
56.520	125.911
56.580	123.720
56.640	123.987
56.700	119.491
56.760	115.199
56.820	109.761
56.880	104.526
56.940	100.756
57.000	100.400
57.060	100.985
57.120	105.125
57.180	111.518
57.240	115.989
57.300	119.542
57.360	124.051
57.420	122.192
57.480	123.720
57.540	122.472
57.600	122.077
57.660	122.192
57.720	120.956
57.780	118.167
57.840	109.366
57.900	105.800
57.960	101.826
58.020	100.030
58.080	101.113
58.140	103.074
58.200	105.762
58.260	106.309
58.320	108.449
58.380	109.188
58.440	108.615
58.500	109.035
58.560	108.895
58.620	109.099
58.680	109.188
58.740	107.456
58.800	105.354
58.860	102.832
58.920	101.508
58.980	100.527
59.040	100.323
59.100	100.132
59.160	100.540
59.220	101.418
59.280	102.017
59.340	101.584
59.400	101.890
59.460	101.533
59.520	101.087
59.580	101.648
59.640	102.476
59.700	102.144
59.760	101.584
59.820	101.660
59.880	101.597
59.940	100.565
60.000	100.489
60.060	101.648
60.120	103.673
60.180	105.418
60.240	108.755
60.300	110.436
60.360	111.837
60.420	111.608
60.480	110.563
60.540	112.550
60.600	112.130
60.660	110.933
60.720	110.818
60.780	108.589
60.840	105.188
60.900	101.291
60.960	100.858
61.020	100.158
61.080	100.068
61.140	101.826
61.200	103.775
61.260	105.303
61.320	106.398
61.380	106.653
61.440	107.188
61.500	107.927
61.560	108.513
61.620	107.354
61.680	108.487
61.740	107.048
61.800	106.488
61.860	104.004
61.920	101.915
61.980	100.463
62.040	100.412
62.100	100.234
62.160	100.400
62.220	101.215
62.280	103.393
62.340	104.195
62.400	104.590
62.460	105.278
62.520	105.278
62.580	104.679
62.640	105.048
62.700	105.227
62.760	104.029
62.820	101.202
62.880	101.393
62.940	100.845
63.000	100.056
63.060	99.483
63.120	100.705
63.180	101.011
63.240	102.705
63.300	103.405
63.360	105.430
63.420	104.564
63.480	105.074
63.540	104.170
63.600	103.545
63.660	104.946
63.720	104.641
63.780	104.080
63.840	104.080
63.900	102.259
63.960	101.380
64.020	101.444
64.080	103.571
64.140	109.850
64.200	129.337
64.260	146.582
64.320	159.127
64.380	170.463
64.440	176.653
64.500	177.048
64.560	177.901
64.620	177.289
64.680	179.824
64.740	173.800
64.800	170.399
64.860	145.028
