Mon, Oct 09, 2017	2:30 PM
 x = amu	 y = amps

69.360	172.641
69.420	186.995
69.480	195.121
69.540	202.278
69.600	202.151
69.660	201.947
69.720	204.062
69.780	202.813
69.840	196.330
69.900	183.339
69.960	162.057
70.020	139.921
70.080	120.077
70.140	108.105
70.200	105.430
70.260	107.583
70.320	109.481
70.380	113.276
70.440	115.390
70.500	116.957
70.560	118.969
70.620	119.784
70.680	120.447
70.740	120.778
70.800	119.441
70.860	120.549
70.920	119.810
70.980	116.868
71.040	111.569
71.100	107.621
71.160	104.819
71.220	104.144
71.280	105.494
71.340	108.118
71.400	111.251
71.460	113.531
71.520	114.919
71.580	115.925
71.640	116.613
71.700	115.887
71.760	116.600
71.820	116.002
71.880	117.403
71.940	115.721
72.000	112.588
72.060	109.621
72.120	105.532
72.180	104.794
72.240	103.877
72.300	105.201
72.360	108.500
72.420	108.920
72.480	110.818
72.540	111.353
72.600	112.448
72.660	112.346
72.720	111.811
72.780	112.499
72.840	112.576
72.900	111.646
72.960	110.958
73.020	108.258
73.080	106.500
73.140	104.144
73.200	104.488
73.260	106.322
73.320	108.755
73.380	111.595
73.440	113.913
73.500	115.467
73.560	117.568
73.620	117.938
73.680	116.511
73.740	118.103
73.800	117.173
73.860	116.511
73.920	115.034
73.980	112.015
74.040	109.239
74.100	106.284
74.160	105.176
74.220	107.698
74.280	114.308
74.340	121.771
74.400	130.241
74.460	133.884
74.520	138.864
74.580	142.277
74.640	143.321
74.700	144.671
74.760	143.423
74.820	145.168
74.880	142.226
74.940	137.870
75.000	129.120
75.060	117.224
75.120	112.703
75.180	106.857
75.240	105.953
75.300	108.500
75.360	111.175
75.420	115.594
75.480	118.460
75.540	120.243
75.600	121.376
75.660	122.434
75.720	123.045
75.780	122.918
75.840	123.198
75.900	121.287
75.960	118.715
76.020	112.728
76.080	109.430
76.140	106.080
76.200	104.373
76.260	104.590
76.320	106.831
76.380	111.060
76.440	113.875
76.500	116.307
76.560	117.059
76.620	118.664
76.680	118.638
76.740	120.026
76.800	120.689
76.860	121.364
76.920	119.058
76.980	118.345
77.040	114.932
77.100	110.079
77.160	107.978
77.220	106.870
77.280	120.358
77.340	158.580
77.400	185.415
77.460	221.103
77.520	252.052
77.580	269.922
77.640	287.192
77.700	294.707
77.760	300.043
77.820	295.318
77.880	299.903
77.940	291.625
78.000	278.812
78.060	245.761
78.120	192.204
78.180	161.776
78.240	130.598
78.300	114.524
78.360	116.142
