Thu, Oct 12, 2017	3:43 PM
 x = amu	 y = amps

14.820	698.134
14.880	638.132
14.940	614.914
15.000	611.641
15.060	525.822
15.120	378.449
15.180	170.195
15.240	146.136
15.300	179.111
15.360	559.880
15.420	1766.404
15.480	2079.236
15.540	2268.691
15.600	2447.663
15.660	2518.504
15.720	2391.254
15.780	2379.460
15.840	2233.691
15.900	1966.659
15.960	2047.408
16.020	1709.128
16.080	1378.757
16.140	950.838
16.200	153.498
16.260	171.265
16.320	327.962
16.380	1668.728
16.440	2957.427
16.500	3575.985
16.560	3984.099
16.620	4163.607
16.680	4078.731
16.740	4098.473
16.800	3852.494
16.860	3511.934
16.920	3356.154
16.980	3352.448
17.040	2757.630
17.100	2339.276
17.160	473.947
17.220	247.149
17.280	322.294
17.340	1228.620
17.400	2916.976
17.460	6764.110
17.520	7438.186
17.580	7906.862
17.640	8442.201
17.700	7715.637
17.760	7575.740
17.820	7185.444
17.880	7036.084
17.940	6671.032
18.000	5785.301
18.060	5308.143
18.120	4162.231
18.180	175.583
18.240	122.765
18.300	110.843
18.360	114.690
18.420	144.302
18.480	157.956
18.540	162.948
18.600	166.005
18.660	170.081
18.720	167.559
18.780	160.809
18.840	164.171
18.900	158.834
18.960	155.179
19.020	154.593
19.080	146.900
19.140	127.974
19.200	112.703
19.260	109.188
19.320	112.525
19.380	167.635
19.440	232.056
19.500	259.885
19.560	273.233
19.620	268.495
19.680	286.135
19.740	262.191
19.800	251.186
19.860	259.299
19.920	238.284
19.980	240.080
20.040	219.141
20.100	201.081
20.160	179.722
20.220	105.787
20.280	104.373
20.340	104.322
20.400	105.494
20.460	104.883
20.520	105.443
20.580	106.322
20.640	106.042
20.700	105.571
20.760	104.603
20.820	104.552
20.880	104.832
20.940	104.768
21.000	105.061
21.060	105.711
21.120	105.201
21.180	104.475
21.240	105.099
21.300	104.119
21.360	104.259
21.420	103.940
21.480	107.073
21.540	108.678
21.600	108.347
21.660	109.290
21.720	108.296
21.780	108.653
21.840	109.748
21.900	107.634
21.960	105.723
22.020	108.092
22.080	108.296
22.140	108.105
22.200	105.430
22.260	102.769
22.320	103.800
22.380	103.889
22.440	104.704
22.500	103.673
22.560	104.462
22.620	104.119
22.680	103.596
22.740	103.049
22.800	104.297
22.860	103.214
22.920	105.036
22.980	104.157
23.040	103.966
23.100	104.819
23.160	104.641
23.220	104.233
23.280	104.246
23.340	105.469
23.400	106.806
23.460	119.058
23.520	131.285
23.580	142.621
23.640	144.353
23.700	146.391
23.760	147.117
23.820	142.608
23.880	140.991
23.940	143.219
24.000	142.252
24.060	139.220
24.120	134.877
24.180	134.775
24.240	125.732
24.300	105.380
24.360	104.832
24.420	107.328
24.480	115.059
24.540	151.982
24.600	170.768
24.660	180.130
24.720	181.671
24.780	181.620
24.840	183.645
24.900	173.303
24.960	179.238
25.020	176.653
25.080	166.769
25.140	173.532
25.200	160.910
25.260	145.754
25.320	130.305
25.380	111.149
25.440	131.986
25.500	177.799
25.560	342.227
25.620	392.599
25.680	451.072
25.740	452.142
25.800	468.521
25.860	476.303
25.920	434.744
25.980	443.749
26.040	422.581
26.100	404.915
26.160	412.493
26.220	371.215
26.280	312.156
26.340	207.551
26.400	121.262
26.460	135.718
26.520	280.149
26.580	560.440
26.640	824.034
26.700	940.623
26.760	974.209
26.820	999.567
26.880	984.908
26.940	939.044
27.000	915.443
27.060	939.235
27.120	826.708
27.180	842.782
27.240	730.765
27.300	634.299
27.360	436.871
27.420	268.177
27.480	622.161
27.540	3854.583
27.600	6368.083
27.660	8270.615
27.720	8931.942
27.780	8967.579
27.840	9741.280
27.900	9858.303
27.960	8387.192
28.020	8543.366
28.080	8786.288
28.140	7589.100
28.200	8191.866
28.260	6933.020
28.320	4658.584
28.380	2975.831
28.440	136.342
28.500	156.020
28.560	234.693
28.620	583.710
28.680	716.398
28.740	902.758
28.800	950.723
28.860	942.979
28.920	999.478
28.980	871.757
29.040	874.164
29.100	857.632
29.160	807.476
29.220	849.659
29.280	755.002
29.340	593.453
29.400	339.819
29.460	120.867
29.520	140.685
29.580	338.469
29.640	484.811
29.700	694.848
29.760	720.142
29.820	713.965
29.880	788.219
29.940	716.831
30.000	677.972
30.060	691.524
30.120	645.290
30.180	667.146
30.240	539.476
30.300	575.673
30.360	358.313
30.420	116.104
30.480	109.009
30.540	133.565
30.600	250.970
30.660	295.216
30.720	338.240
30.780	340.736
30.840	350.085
30.900	354.555
30.960	340.227
31.020	331.897
31.080	327.312
31.140	300.973
31.200	314.690
31.260	280.238
31.320	249.340
31.380	163.853
31.440	113.900
31.500	140.507
31.560	270.673
31.620	355.944
31.680	419.346
31.740	421.333
31.800	449.888
31.860	454.053
31.920	442.017
31.980	416.238
32.040	423.791
32.100	393.516
32.160	405.017
32.220	361.560
32.280	324.548
32.340	210.239
32.400	137.297
32.460	103.558
32.520	105.876
32.580	107.124
32.640	108.997
32.700	107.850
32.760	111.939
32.820	109.633
32.880	111.366
32.940	110.665
33.000	111.366
33.060	109.048
33.120	109.621
33.180	109.672
33.240	108.627
33.300	108.182
33.360	107.188
33.420	105.265
33.480	104.755
33.540	104.399
33.600	107.647
33.660	109.404
33.720	109.544
33.780	110.525
33.840	111.111
33.900	108.716
33.960	109.442
34.020	109.825
34.080	109.595
34.140	110.347
34.200	108.946
34.260	109.748
34.320	107.723
34.380	104.322
34.440	102.183
34.500	104.552
34.560	104.641
34.620	105.634
34.680	104.730
34.740	106.921
34.800	106.513
34.860	106.793
34.920	105.138
34.980	106.921
35.040	106.284
35.100	105.558
35.160	105.762
